main_category,currency,goal,pledged,state,backers,country,2 pledged,2_pledged_real,2_goal_real
12,1,87000,2030,0,15,2,2030,2030,87000
12,1,100000,141,0,3,2,100,141,100000
3,1,4000,4795,1,95,2,4795,4795,4000
7,1,13000,2453,0,65,2,2453,2453,13000
4,1,25000,0,0,0,2,0,0,25000
5,2,500,218,0,6,1,174.83,288.03,660.62
8,1,68000,0,0,0,2,0,0,68000
9,1,7500,8157.01,1,164,2,8157.01,8157.01,7500
2,1,29700,10410,0,76,2,10410,10410,29700
7,1,50000,1410,0,38,2,1410,1410,50000
8,2,2000,61,0,9,1,95.87,93.44,3063.58
7,1,13000,1811,0,34,2,1811,1811,13000
2,1,4000,4045,1,29,2,4045,4045,4000
3,1,500,1540,1,31,2,1540,1540,500
8,1,500,754.82,1,36,2,754.82,754.82,500
1,4,4000,4944.5,1,153,3,4523.37,4646.65,3759.05
1,3,10000,88,0,9,5,22.35,97.62,11092.99
9,1,5000,110,0,2,2,110,110,5000
4,1,3000,1027,0,18,2,1027,1027,3000
3,1,4500,409,0,10,2,409,409,4500
7,3,5000,11238,1,346,6,5509.51,13347.43,5938.52
1,1,4289,474,0,14,2,474,474,4289
9,1,2000,2075,1,40,2,2075,2075,2000
3,1,15000,151,0,4,2,151,151,15000
3,1,10000,10414,1,113,2,10414,10414,10000
2,1,1500,1932.99,1,29,2,1932.99,1932.99,1500
2,1,3000,3755,1,52,2,3755,3755,3000
2,1,2000,2252.99,1,45,2,2252.99,2252.99,2000
12,4,25000,3,0,3,3,2.41,2.36,19632.48
4,1,5000,0,0,0,2,0,0,5000
2,1,500,756,1,8,2,756,756,500
3,1,200,274.05,1,14,2,274.05,274.05,200
1,1,1000,1055,1,19,2,0,1055,1000
5,1,500,156,0,4,2,1,156,500
12,4,50000,11336,0,19,3,9240.74,9110.34,40183.24
4,1,20000,47273,1,1261,2,47273,47273,20000
2,1,1800,22,0,2,2,7,22,1800
2,1,5000,50,0,3,2,50,50,5000
8,1,5400,5858,1,131,2,5858,5858,5400
8,1,1750,1805,1,25,2,1805,1805,1750
3,1,1000,1455,1,41,2,1455,1455,1000
7,1,19500,20269,1,491,2,20269,20269,19500
12,1,500,74,0,6,2,261,74,500
4,1,100,0,0,0,2,0,0,100
3,1,10000,10,0,1,2,10,10,10000
3,1,1000,472,0,13,2,0,472,1000
10,1,8000,8360,1,121,2,605,8360,8000
2,1,50000,40,0,3,2,20,40,50000
3,1,6325,10,0,2,2,10,10,6325
2,1,20000,270,0,4,2,270,270,20000
1,1,25000,0,0,0,2,0,0,25000
5,1,125000,3012,0,67,2,3012,3012,125000
13,1,3400,0,0,0,2,0,0,3400
7,1,2000,14794,1,624,2,14794,14794,2000
4,1,20000,0,0,0,2,0,0,20000
11,1,3200,568,0,11,2,568,568,3200
7,1,200,306.72,1,36,2,306.72,306.72,200
12,1,250000,90771,0,120,2,90771,90771,250000
10,1,650,0,0,0,2,0,0,650
2,2,500,5,0,1,1,7.72,7.4,740.16
10,1,800,1062.57,1,20,2,1062.57,1062.57,800
2,2,5000,5037,1,47,1,8345.98,8447.09,8385.04
3,1,10000,4006,0,44,2,4006,4006,10000
12,3,4000,282,0,12,6,313.3,322.02,4567.62
1,1,1400,2535,1,49,2,2535,2535,1400
12,1,15000,25,0,1,2,25,25,15000
7,1,25000,65,0,3,2,65,65,25000
3,1,3000,260,0,8,2,260,260,3000
1,1,3000,3165,1,33,2,225,3165,3000
10,1,650,2354.5,1,53,2,2354.5,2354.5,650
11,1,1000,95,0,3,2,95,95,1000
2,2,750,756,1,15,1,1153.31,1122.89,1113.98
10,2,1500,1515.5,1,19,1,2320.27,2331.32,2307.48
5,2,500,0,0,0,1,0,0,803.32
8,1,2500,25,0,1,2,30,25,2500
12,1,6000,20,0,2,2,20,20,6000
7,1,1000,875,0,14,2,420,875,1000
1,2,10000,1,0,1,1,1.44,1.43,14287.14
3,2,600,0,0,0,1,0,0,917.77
3,4,18000,10,0,1,6,0,0.53,955.82
7,1,12000,3100.66,0,89,2,3100.66,3100.66,12000
7,2,1925,293,0,5,1,500.63,485.72,3191.15
12,1,8500,1355,0,4,2,1355,1355,8500
9,1,7500,8315,1,67,2,8315,8315,7500
12,1,250000,268192,1,561,2,268192,268192,250000
11,2,500,10,0,1,1,16.98,16.58,829.12
2,2,60000,5487,0,90,1,8715.62,8854.28,96821.04
2,3,100,20,0,2,6,21.77,22.85,114.27
1,1,1000,2883.5,1,78,2,2883.5,2883.5,1000
7,1,70000,15542.11,0,260,2,15542.11,15542.11,70000
3,1,1450,1647,1,33,2,0,1647,1450
7,1,7500,942.25,0,55,2,942.25,942.25,7500
8,1,36000,91003.67,1,750,2,91003.67,91003.67,36000
12,1,50000,4237,0,12,2,4384,4237,50000
12,4,129000,11601.5,0,32,4,8267.42,8910.52,99078.34
3,1,5000,0,0,0,2,0,0,5000
2,1,100000,8085,0,37,2,8085,8085,100000
1,2,2500,1315,0,29,1,2068.07,2082.74,3959.58
10,1,1200,2,0,2,2,2,2,1200
12,4,2000,656,0,18,3,636.78,628.47,1916.08
3,1,32000,4670,0,42,2,4670,4670,32000
3,1,777,923,1,36,2,923,923,777
1,1,7500,9500,1,86,2,880,9500,7500
2,1,50000,2161,0,26,2,2161,2161,50000
5,1,80000,843743,1,3784,2,843743,843743,80000
3,1,2000,2036,1,38,2,2036,2036,2000
5,1,9500,0,0,0,2,0,0,9500
2,1,5000,5120,1,81,2,5120,5120,5000
5,1,10000,805,0,10,2,805,805,10000
2,2,500,10,0,1,1,16.81,17.12,856
7,1,50000,1825,0,32,2,1825,1825,50000
3,1,4000,4629,1,37,2,15,4629,4000
2,1,5000,310,1,4,2,200,310,5000
5,1,30000,1041,0,46,2,549,1041,30000
1,2,5500,5721,1,140,1,8787.83,8937.95,8592.68
5,1,5000,26407,1,327,2,26407,26407,5000
12,2,40000,47056.86,1,3080,1,75365.14,75379.02,64074.84
3,1,4000,30,0,2,2,30,30,4000
1,1,19650,20313,1,164,2,20313,20313,19650
2,1,800,850,1,19,2,850,850,800
10,1,275,642,1,40,2,642,642,275
7,1,14000,113,0,18,2,113,113,14000
3,1,15000,18009,1,69,2,18009,18009,15000
12,4,55000,56680,1,24,6,2.45,2739.22,2658.03
11,1,2500,0,0,0,2,0,0,2500
7,1,2000,3.69,0,3,2,0,3.69,2000
1,2,10000,337.5,0,15,1,115.05,423.72,12554.61
7,2,2500,3097,1,107,1,4983.78,4848.23,3913.65
5,1,35000,39209,1,120,2,39209,39209,35000
11,1,11000,75,0,1,2,75,75,11000
5,1,5000,45,0,2,2,0,45,5000
4,4,50000,0,0,0,3,0,0,38112.66
8,1,3000,23079,1,140,2,23079,23079,3000
11,1,17500,656,0,14,2,615,656,17500
2,1,500,5,0,1,2,5,5,500
2,1,5000,0,0,0,2,0,0,5000
1,4,4450,8503,1,47,6,409.54,986.03,516.03
9,1,4000,4813,1,105,2,4813,4813,4000
5,2,15000,15267,1,85,1,23358.14,23576.92,23164.59
8,3,3286,3776,1,44,6,427.94,3944.43,3432.57
5,1,8000,0,0,0,2,0,0,8000
10,3,700,85,0,4,6,88.86,100.35,826.42
7,1,15000,0,0,0,2,0,0,15000
2,4,38875,0,0,0,3,0,0,35895.66
9,1,9000,10046,1,115,2,10046,10046,9000
7,1,1500,1620,1,52,2,1620,1620,1500
1,1,3500,0,0,0,2,0,0,3500
7,1,150,165,1,7,2,25,165,150
2,1,5250,0,0,0,2,0,0,5250
7,1,300000,1,0,1,2,1,1,300000
10,1,3000,4386,1,94,2,4386,4386,3000
3,1,2000,170,0,7,2,170,170,2000
1,1,3000,91,0,4,2,20,91,3000
6,1,7000,0,0,0,2,0,0,7000
4,1,2000,2164.77,1,52,2,525,2164.77,2000
7,1,750,1207,1,56,2,1207,1207,750
1,1,2000,2585,1,105,2,2585,2585,2000
1,1,1500,1500,1,26,2,1500,1500,1500
4,1,25000,30066,1,161,2,30066,30066,25000
1,1,15000,25,0,1,2,25,25,15000
7,1,5000,176,0,6,2,100,176,5000
13,1,1200,1205,1,21,2,1205,1205,1200
5,1,150,218,1,15,2,218,218,150
1,2,4000,20,0,1,1,30.66,30.3,6060.97
1,1,500,1,0,1,2,1,1,500
3,1,1000,0,0,0,2,0,0,1000
5,1,75000,1736,0,21,2,1736,1736,75000
3,1,5500,0,0,0,2,0,0,5500
2,1,1500,1612,1,27,2,1612,1612,1500
1,4,18000,832,0,23,4,375.22,623.55,13490.22
11,1,17000,35,0,2,2,35,35,17000
1,1,5150,5965.5,1,97,2,5965.5,5965.5,5150
12,1,5000,5000,1,57,2,5000,5000,5000
2,1,20000,22421,1,383,2,22421,22421,20000
2,2,400,1065,1,36,1,1783.51,1825.79,685.74
4,1,100000,1600,0,13,2,1600,1600,100000
2,1,5500,6614,1,88,2,6614,6614,5500
10,1,5000,7259,1,26,2,300,7259,5000
7,1,1000,745,0,52,2,316,745,1000
4,1,25000,0,0,0,2,0,0,25000
10,1,5000,0,0,0,2,0,0,5000
13,1,450,160,0,4,2,160,160,450
11,4,500,1845,1,30,3,153.82,1364.34,369.74
12,1,3500,107,0,7,2,107,107,3500
4,1,22500,50,0,2,2,50,50,22500
10,1,5000,52,0,4,2,52,52,5000
2,2,2000,0,0,0,1,0,0,3326.62
7,1,25000,18431,0,71,2,18431,18431,25000
1,1,350,1067,1,14,2,1067,1067,350
12,2,5500,7157,1,184,1,11147.99,11335.49,8711.08
7,1,12000,686,0,14,2,686,686,12000
4,1,28000,12024,0,62,2,12024,12024,28000
13,1,1500,1900,1,47,2,1900,1900,1500
3,1,10000,11713,1,195,2,11713,11713,10000
2,2,10000,0,0,0,1,0,0,12966.8
3,1,10000,10328,1,65,2,10328,10328,10000
8,3,2000,2028,1,7,5,2254.15,2282.32,2250.81
8,3,10000,855,0,25,5,966.76,952.04,11134.99
5,3,59000,4021,0,50,6,917.1,4264.68,62575.57
2,1,2500,1186.69,0,15,2,1186.69,1186.69,2500
7,1,800,45,0,3,2,45,45,800
2,1,2000,310,0,9,2,75,310,2000
2,1,3397.98,50,0,1,2,50,50,3397.98
3,1,2200,2415,1,52,2,355,2415,2200
10,1,3000,3125,1,55,2,3125,3125,3000
2,1,10000,1765,0,34,2,1765,1765,10000
2,1,5000,100,0,1,2,100,100,5000
2,2,125,242,1,19,1,371.54,376.94,194.7
2,1,3500,3585,1,43,2,3585,3585,3500
2,1,40000,733,0,18,2,733,733,40000
10,1,1000,1145,1,21,2,1145,1145,1000
8,1,10000,3238,0,36,2,3238,3238,10000
10,1,30000,1152,0,9,2,1152,1152,30000
12,1,25000,227673,1,2278,2,16679,227673,25000
10,1,10000,11511.1,1,177,2,11511.1,11511.1,10000
1,1,2500,2611,1,75,2,2611,2611,2500
1,2,50,33,0,6,1,2.58,42.81,64.87
5,1,9225,1076,0,32,2,1076,1076,9225
1,1,2200,2510,1,31,2,2510,2510,2200
10,1,550,708,1,23,2,708,708,550
8,3,20000,1,0,1,6,0,1.14,22824.02
4,1,3500,1278,0,29,2,1278,1278,3500
3,1,1300,625,0,10,2,625,625,1300
6,4,250,1009,1,39,4,734.39,709.07,175.69
2,1,2500,3863.37,1,42,2,3863.37,3863.37,2500
1,2,1000,55,0,6,1,83.34,85.39,1552.55
8,1,1500,247,0,9,2,247,247,1500
2,2,370,495,1,17,1,703.2,711.71,531.98
2,1,9000,171,0,8,2,171,171,9000
10,1,4500,5263,1,107,2,5263,5263,4500
7,1,10000,60,0,3,2,60,60,10000
1,1,3800,272,0,9,2,272,272,3800
1,1,1500,1804,1,33,2,500,1804,1500
7,1,7000,7782,1,130,2,7782,7782,7000
4,4,15,6,0,2,3,5.59,5.5,13.76
7,4,50000,5,0,1,6,0.6,0.58,5767.28
8,1,5000,0,0,0,2,0,0,5000
2,1,7000,810,0,10,2,0,810,7000
7,3,15000,1030,0,28,6,1168.94,1100.86,16031.98
5,1,7500,41759,1,1127,2,41759,41759,7500
9,1,1971,2308.5,1,53,2,2308.5,2308.5,1971
11,2,20000,25,0,2,1,41.2,42.19,33751.86
5,1,5350,2670,0,35,2,753,2670,5350
10,2,9900,10015,1,85,1,16151.58,16225.19,16038.88
4,2,250,340,1,17,1,526.83,524.38,385.58
2,1,5000,0,0,0,2,0,0,5000
7,1,10000,14414,1,102,2,14414,14414,10000
7,1,2000,2348,1,17,2,340,2348,2000
8,1,1750,2190,1,51,2,2190,2190,1750
1,1,2000,325,0,6,2,325,325,2000
3,1,2250,40,0,4,2,40,40,2250
4,1,2000,0,0,0,2,0,0,2000
11,1,60000,10820,0,71,2,10820,10820,60000
4,1,25000,25816,1,172,2,25816,25816,25000
12,4,33000,1110,0,5,4,991.48,976.08,29018.64
10,3,200000,0,0,0,5,0,0,233081.22
2,4,250,842,1,17,4,671.75,649.89,192.96
12,1,200000,4236618.49,1,5946,2,608194,4236618.49,200000
10,1,4800,5080.2,1,102,2,5080.2,5080.2,4800
1,1,7000,0,0,0,2,0,0,7000
10,1,8000,100,0,1,2,100,100,8000
8,2,1500,279,0,12,1,434.35,447.8,2407.55
3,4,7000,10,0,1,6,0,0.53,371.71
11,1,6000,6022,1,20,2,6022,6022,6000
2,4,7500,8422,1,96,3,8008.11,7897.6,7033.01
8,1,20000,1591,0,6,2,1591,1591,20000
5,4,200,0,0,0,4,0,0,140.55
1,3,1000000,10,0,1,6,11.18,10.76,1076403.09
4,1,15000,15018,1,145,2,1015,15018,15000
1,1,4500,0,0,0,2,0,0,4500
2,1,15000,785,0,13,2,785,785,15000
1,1,65000,50,0,2,2,50,50,65000
12,1,8500,0,0,0,2,0,0,8500
8,2,600,138,0,7,1,209.93,209.1,909.15
5,1,999,13757,1,75,2,13757,13757,999
2,1,15000,15040.33,1,192,2,15040.33,15040.33,15000
12,1,9000,0,0,0,2,0,0,9000
13,1,3000,5,0,1,2,0,5,3000
3,1,7000,7453,1,138,2,7336,7453,7000
4,3,20000,185,0,9,6,210.14,195.73,21159.99
3,2,2000,2712,1,80,1,4140,4208.17,3103.37
2,1,50000,66554.56,1,665,2,66554.56,66554.56,50000
12,1,50000,5650,0,22,2,5650,5650,50000
3,1,15000,130,0,4,2,130,130,15000
3,1,2000,80,0,4,2,80,80,2000
3,1,3500,1005,0,19,2,1005,1005,3500
2,1,10000,0,0,0,2,0,0,10000
5,1,7000,8952.22,1,207,2,8952.22,8952.22,7000
3,1,5000,140,0,4,2,140,140,5000
10,1,500,0,0,0,2,0,0,500
8,1,1,566,1,3,2,566,566,1
12,1,500,0,0,0,2,0,0,500
12,3,5000,32374,1,287,6,3253.95,38421.55,5934.01
5,1,40000,326,0,4,2,326,326,40000
12,1,1000,0,0,0,2,0,0,1000
2,1,500000,0,0,0,2,0,0,500000
11,1,18000,18625,1,167,2,18625,18625,18000
1,1,1000,1,0,1,2,1,1,1000
2,1,800,1072,1,18,2,1072,1072,800
7,1,6000,4636,0,76,2,4636,4636,6000
3,4,3500,51,0,2,3,40.87,41.8,2868.85
7,1,19400,37522,1,1053,2,111,37522,19400
12,4,40000,0,0,0,3,86.46,0,31343.05
2,1,12500,12857,1,32,2,12857,12857,12500
4,1,2500,3712,1,125,2,3712,3712,2500
1,1,28000,3775,0,40,2,3775,3775,28000
2,1,500,600,1,25,2,600,600,500
10,1,5500,7498.77,1,118,2,7498.77,7498.77,5500
1,1,25000,0,0,0,2,0,0,25000
10,4,10900,11066,1,26,6,8298.24,8226.9,8103.49
2,1,4000,296,0,12,2,296,296,4000
2,1,20000,756,0,9,2,756,756,20000
5,4,15000,217,0,7,4,156.69,163.07,11272.26
7,1,7500,9125,1,182,2,9125,9125,7500
3,1,1000,1221,1,54,2,1221,1221,1000
2,1,25000,25712,1,148,2,25712,25712,25000
1,2,30000,11,0,1,1,17.81,17.98,49034.03
3,1,7500,8739.01,1,145,2,8739.01,8739.01,7500
2,2,3500,40,0,2,1,55.93,56.3,4926.39
2,1,750,865,1,20,2,865,865,750
2,1,1000,91,0,6,2,91,91,1000
3,1,7000,100,0,1,2,100,100,7000
1,1,5000,20,0,3,2,0,20,5000
10,1,2000,0,0,0,2,0,0,2000
1,1,1287,227,0,9,2,227,227,1287
7,2,3500,45,0,1,1,59.3,54.67,4251.91
13,1,6000,6000,1,63,2,6000,6000,6000
11,1,10000,10290,1,61,2,10290,10290,10000
2,1,2500,2575,1,14,2,20,2575,2500
4,2,15000,0,0,0,1,0,0,24051.18
12,2,1700000,970,0,4,1,1444.02,1525.47,2673502.45
2,1,7500,8294.63,1,116,2,8294.63,8294.63,7500
3,1,800,815,1,14,2,815,815,800
12,1,15000,30,0,6,2,0,30,15000
1,1,60000,320,0,6,2,320,320,60000
5,1,15000,935,0,23,2,935,935,15000
5,1,18000,87207.5,1,2789,2,87207.5,87207.5,18000
1,1,2000,0,0,0,2,0,0,2000
10,1,2500,185,0,8,2,0,185,2500
8,1,20000,1034,0,21,2,1034,1034,20000
8,1,500,0,0,0,2,0,0,500
2,1,10000,2935,0,44,2,336,2935,10000
8,2,20000,20339,1,213,1,1435.92,27208.27,26754.78
10,1,3000,1189,0,29,2,1189,1189,3000
1,1,550,3318,1,149,2,3318,3318,550
1,1,10000,101,0,2,2,101,101,10000
2,2,175,41,0,5,1,61.79,60.9,259.93
2,1,3000,165,0,5,2,165,165,3000
2,2,5500,5539.69,1,116,1,8927.74,8932.68,8868.68
2,1,25000,1185,0,16,2,1185,1185,25000
4,1,5500,6510,1,133,2,6510,6510,5500
1,2,15000,40,0,2,1,32.07,51.36,19261.39
5,1,35000,9123,0,69,2,1008,9123,35000
1,1,3000,80,0,2,2,80,80,3000
2,1,14500,14875,1,106,2,1635,14875,14500
12,1,10000,17771,1,27,2,17771,17771,10000
7,1,6055,0,0,0,2,0,0,6055
5,1,20000,20563,1,244,2,20563,20563,20000
2,1,600,10,0,1,2,10,10,600
11,1,3000,797,0,27,2,797,797,3000
10,1,350,161,0,2,2,161,161,350
10,1,4000,4600,1,76,2,4600,4600,4000
5,4,8000,946,0,18,3,532.42,734.81,6214.07
5,3,150000,491,0,16,6,553.34,561.07,171405.06
1,1,200,0,0,0,2,0,0,200
10,2,200,58,0,2,1,92.98,93.49,322.39
1,1,800,947,1,50,2,217,947,800
4,1,15000,16656,1,160,2,16656,16656,15000
8,1,1500,0,0,0,2,0,0,1500
10,1,3000,3005.33,1,46,2,3005.33,3005.33,3000
3,1,3000,200,0,4,2,200,200,3000
9,1,6500,1810,0,21,2,1810,1810,6500
10,1,4000,0,0,0,2,0,0,4000
1,1,2500,3184,1,27,2,3184,3184,2500
3,1,20,5075,1,152,2,1380,5075,20
2,1,22000,0,0,0,2,0,0,22000
3,1,8000,9137,1,106,2,9137,9137,8000
3,1,400,0,0,0,2,0,0,400
1,1,2000,2522,1,51,2,2522,2522,2000
1,1,3021,113,0,5,2,113,113,3021
7,1,25000,7069,0,191,2,3874,7069,25000
12,1,15000,3877,0,34,2,3877,3877,15000
1,2,20000,40,0,4,1,30.88,51.91,25956.16
5,1,500,838.01,1,31,2,838.01,838.01,500
2,2,850,413,1,11,1,13.39,563.32,1159.38
11,2,300,0,0,0,1,0,0,457.02
12,1,18000,410,0,4,2,410,410,18000
10,1,25000,1250,0,9,2,1250,1250,25000
2,1,600,10,0,1,2,10,10,600
7,2,5000,80,0,6,1,29.17,104.76,6547.5
10,1,1100,0,0,0,2,0,0,1100
10,1,10000,10050,1,32,2,10050,10050,10000
12,1,98000,1,0,1,2,1,1,98000
2,1,7500,691,0,21,2,691,691,7500
10,1,5000,33,0,4,2,33,33,5000
1,1,16000,375,0,5,2,375,375,16000
13,1,3500,3520,1,30,2,3520,3520,3500
6,1,2000,2025,1,38,2,80,2025,2000
7,3,2000,1,0,1,5,1.09,1.12,2240.39
2,1,2500,2708,1,40,2,2708,2708,2500
3,1,2000,0,0,0,2,0,0,2000
7,1,10200,20709.5,1,1258,2,11973.5,20709.5,10200
1,1,16000,17563,1,136,2,17563,17563,16000
3,1,2500,12413,1,240,2,12413,12413,2500
5,1,700,341,0,5,2,341,341,700
1,1,15000,0,0,0,2,0,0,15000
4,1,5500,275,0,2,2,0,275,5500
1,2,200,1097,1,89,1,1719.14,1713.93,312.48
10,1,500,1745,1,23,2,1745,1745,500
10,1,1000,0,0,0,2,0,0,1000
2,1,4000,4279,1,60,2,4279,4279,4000
2,1,5000,131,0,6,2,131,131,5000
8,1,13500,1383,0,54,2,1383,1383,13500
7,4,10000,3969,0,120,3,3259.3,3189.75,8036.65
10,1,2300,2455,1,58,2,2455,2455,2300
2,1,3250,3606,1,43,2,3606,3606,3250
7,1,22500,345,0,8,2,147,345,22500
4,4,4500,0,0,0,4,0,0,3835.01
2,1,5000,5975,1,40,2,5975,5975,5000
8,1,50000,1525,0,29,2,1060,1525,50000
12,1,5000,61416,0,103,2,13700,61416,5000
7,1,25000,91972.5,1,622,2,91972.5,91972.5,25000
2,1,5000,200,0,9,2,200,200,5000
2,1,50000,0,0,0,2,0,0,50000
7,1,6000,31,0,4,2,31,31,6000
1,1,500,525,1,7,2,0,525,500
4,1,25000,0,0,0,2,0,0,25000
6,1,2750,20,0,1,2,20,20,2750
3,1,2500,3100,1,96,2,3100,3100,2500
4,4,900,55,0,4,4,38.67,38.98,637.89
9,1,5000,0,0,0,2,0,0,5000
3,1,3000,3000,1,60,2,986,3000,3000
2,1,10000,377,0,13,2,377,377,10000
4,4,2300,3837,1,32,6,3858.26,4009.53,2403.42
10,1,7000,50,0,1,2,50,50,7000
2,1,5500,11001,1,66,2,11001,11001,5500
12,1,10000,23447,1,298,2,23447,23447,10000
2,1,3000,0,0,0,2,0,0,3000
7,1,500,501,1,26,2,501,501,500
6,1,120,120,1,1,2,120,120,120
12,1,45000,895,0,71,2,895,895,45000
2,2,3000,3396,1,35,1,5166.22,5145.77,4545.73
12,1,25000,41136.55,1,236,2,41136.55,41136.55,25000
3,1,5000,5189,1,59,2,5189,5189,5000
10,2,10000,0,0,0,1,0,0,12363.38
7,2,250,3,0,1,1,4.68,4.66,388.4
2,1,13000,15435.55,1,251,2,15435.55,15435.55,13000
10,1,2500,660,0,12,2,660,660,2500
12,4,10000,1245,0,6,4,903.58,904.99,7269.03
1,4,1000,55,0,3,3,40.98,41.66,757.52
3,2,1800,2250,1,85,1,541.88,2840.3,2272.24
12,1,150000,590,0,7,2,0,590,150000
6,3,3500,31,0,2,6,0,32.83,3706.14
2,1,5000,0,0,0,2,0,0,5000
5,4,1700000,40835,0,34,6,761.14,4579.92,190666.32
3,1,500,0,0,0,2,0,0,500
2,1,12000,4370,0,25,2,4370,4370,12000
10,1,2600,0,0,0,2,0,0,2600
3,4,1,20,1,9,3,17.99,18.12,0.91
1,1,4000,9047,1,226,2,9047,9047,4000
5,1,15000,926,0,16,2,926,926,15000
9,1,900,1010,1,8,2,1010,1010,900
7,3,750,13,0,2,6,8.49,13.73,792.38
2,1,2000,5,1,1,2,5,5,2000
7,4,12000,5422,0,91,4,3894.63,3967.51,8780.92
12,4,1000,3035,1,88,3,2236.44,2179.85,718.24
10,1,100000,116655.41,1,1711,2,116655.41,116655.41,100000
3,1,57000,61315,1,694,2,61315,61315,57000
5,1,5000,35,0,2,2,35,35,5000
10,1,4000,1040,0,19,2,1040,1040,4000
10,4,1000,0,1,0,6,0,0,52.32
5,1,50000,129311,1,1822,2,129311,129311,50000
5,1,14000,24428,1,264,2,24428,24428,14000
5,4,75000,13863,0,89,4,1139.94,10556.66,57112.4
10,2,1000,2552,1,141,1,1251.3,3308.01,1296.24
5,3,35000,2321,0,40,6,1756.84,2589.3,39045.94
3,1,2000,2037.19,1,37,2,2037.19,2037.19,2000
7,1,89999,90715,1,942,2,90715,90715,89999
12,1,10000,0,0,0,2,0,0,10000
2,1,7000,1448,0,41,2,1448,1448,7000
2,1,5000,5772.15,1,65,2,5772.15,5772.15,5000
12,1,25000,31275.6,1,426,2,31275.6,31275.6,25000
2,1,1500,0,0,0,2,0,0,1500
4,2,10000,11290,1,167,1,16355.07,16261.68,14403.62
4,1,34000,596,0,14,2,596,596,34000
5,1,1400,1,0,1,2,1,1,1400
3,1,300000,0,0,0,2,0,0,300000
12,1,8500,16998,1,135,2,9699,16998,8500
1,1,10080,20330,1,545,2,19011,20330,10080
